subject,n_pairs,residual_median,residual_mean,frac_beat_control,wilcoxon_p,cliffs_delta
216,46,3.494404029980003e-05,3.12407316809587e-05,0.6086956521739131,0.30956844486377055,0.11625708884688091
217,46,1.753842758585002e-05,6.201994682536086e-05,0.5652173913043478,0.14770141137753715,0.0949905482041588
218,46,7.133022002714997e-05,4.416141792453779e-05,0.5652173913043478,0.34180041141667517,0.062381852551984876
219,46,1.1730092350050023e-05,6.897804305800001e-05,0.5217391304347826,0.48438276779564793,0.0671077504725898
220,46,4.0914722189299975e-05,9.062865093630651e-05,0.5869565217391305,0.07178953006131215,0.11814744801512288
221,46,0.00013034836953049997,0.00020051366034259566,0.5869565217391305,0.021766725857291048,0.16068052930056712
222,46,0.0001279627587963,0.00014308265510415018,0.6304347826086957,0.04496778765322569,0.1781663516068053
223,46,8.692169979290001e-05,0.00017576502891081527,0.6086956521739131,0.03892267155085972,0.11436672967863894
224,46,3.6782671598300045e-05,3.435181677956742e-05,0.5869565217391305,0.5086028871623909,0.0500945179584121
225,46,2.6525176651949966e-05,0.0002314225557167957,0.5652173913043478,0.1865921791242765,0.08553875236294896
226,46,0.00012078680689810005,0.00013412522729185002,0.5434782608695652,0.24904235927912022,0.09310018903591682
227,46,8.737137303600003e-06,2.9440353957982606e-05,0.5217391304347826,0.4163545423814041,0.07419659735349717
228,46,4.1126347586900017e-05,5.974176734083477e-05,0.6304347826086957,0.04859946950101866,0.1110586011342155
229,46,7.768542259189998e-05,9.717173260658868e-05,0.6086956521739131,0.11067023064686721,0.12429111531190926
230,46,2.6524281599950002e-05,0.00011570737335630056,0.5434782608695652,0.4001635936459179,0.11294896030245746
232,46,4.6801965744200065e-05,0.00016361611122237829,0.6304347826086957,0.011973319397608014,0.08506616257088846
233,46,4.003688310044994e-05,3.7071188056063036e-05,0.5434782608695652,0.4187844246201481,0.06143667296786389
234,46,0.00011059945746744995,0.00012537810961039568,0.5869565217391305,0.12881076891205145,0.08553875236294896
235,46,8.496321248510001e-05,0.00018489705966405216,0.6521739130434783,0.03242949643831905,0.0940453686200378
236,46,5.685213924769999e-05,4.6869740215993475e-05,0.5652173913043478,0.2917030437193463,0.12618147448015124
237,46,0.00010044510774960005,2.8707776959115207e-05,0.5652173913043478,0.6820024926066826,0.06758034026465029
238,46,8.363172557264995e-05,0.00018416841474352174,0.6086956521739131,0.03841446599467517,0.06049149338374291
239,46,0.00010329366309545004,0.00013944806065681954,0.6304347826086957,0.055172215726002685,0.07939508506616257
240,46,6.630603571880004e-05,0.00021463133874569996,0.5652173913043478,0.1302035383045518,0.08128544423440454
241,46,1.5430052183299978e-05,8.529656175820437e-05,0.5434782608695652,0.13348157939338895,0.17485822306238186
242,46,9.342284200720004e-05,0.00013143027151936955,0.6521739130434783,0.03544853459971545,0.1337429111531191
243,46,0.00010472953743549999,0.00019308600195101306,0.5869565217391305,0.0883022993203564,0.10113421550094517
244,46,2.582401871005003e-05,2.559946202566956e-05,0.5434782608695652,0.3910619911242533,0.05434782608695652
245,46,7.007976248200008e-05,0.00015144926244397612,0.6086956521739131,0.09245830202655728,0.12948960302457466
246,46,8.967799332980001e-05,9.082853066418044e-05,0.6956521739130435,0.015058536275112916,0.15595463137996218
247,46,2.484368365140001e-05,4.5652651415730435e-05,0.5652173913043478,0.2314756670277731,0.08648393194706994
248,46,7.291918954039993e-05,9.60501658143413e-05,0.5652173913043478,0.1477074556750443,0.11578449905482041
252,46,4.946514564605002e-05,0.0001096835838238283,0.5869565217391305,0.149474115887152,0.06758034026465029
253,46,1.754498883665002e-05,4.875726970184782e-05,0.5217391304347826,0.46750277455420364,0.11389413988657845
254,46,6.343941567510001e-05,0.00012585251117749004,0.5869565217391305,0.10586969916799582,0.22069943289224953
255,46,6.313230645280002e-05,0.00027280906645185866,0.6304347826086957,0.04382177167805297,0.13752362948960303
256,46,3.629552369000005e-05,6.904844968144785e-05,0.6086956521739131,0.31745136174934696,0.08506616257088846
257,46,4.2254123545850016e-05,5.5177423700810884e-05,0.5869565217391305,0.39713204865280705,0.07466918714555766
258,46,4.107349120740009e-05,3.8203449119902164e-05,0.6086956521739131,0.3878487649863366,0.09546313799621928
259,46,6.882156075985001e-05,3.979044909789782e-05,0.5869565217391305,0.6940641437155656,0.09829867674858223
260,46,2.795266024700001e-05,4.5543007084354324e-05,0.5652173913043478,0.2273136130954313,0.09026465028355388
261,46,5.397267830829994e-05,3.405796504312609e-05,0.5434782608695652,0.4574966348141122,0.07561436672967864
262,46,0.00011127230154615002,0.00018536896001289347,0.6739130434782609,0.006625227597413368,0.17580340264650285
263,46,0.0001706042855849,8.82691738460848e-05,0.6521739130434783,0.0823428643184688,0.15122873345935728
264,46,4.2455206963499994e-05,3.093437868708696e-05,0.5217391304347826,0.4878027398955974,0.048676748582230624
265,46,4.7619707449849996e-05,4.338181228958345e-05,0.5869565217391305,0.35302748262726746,0.05245746691871456
266,46,0.00010810454878979999,7.880879554424567e-05,0.6304347826086957,0.05729075664862451,0.11625708884688091
267,46,5.609569822519997e-05,5.0896897817634814e-05,0.6086956521739131,0.27456116648990847,0.11011342155009451
268,46,3.978887413235002e-05,0.00010635995339734134,0.5869565217391305,0.2558317804590806,0.11247637051039698
269,46,2.6431408922449984e-05,3.884906359727173e-05,0.5652173913043478,0.4708437188677056,0.08695652173913043
270,46,2.0589881129999966e-05,5.121892790414782e-05,0.5434782608695652,0.3517075332264097,0.08412098298676748
